id,text_ch,type,hallu_word
8,鹅站在草地上，面向男孩。,relation,面向
8,男孩穿着条纹衬衫和蓝色牛仔裤，戴着红色的帽子。,none,none
11,有两只狗在沙滩上行走。,count,两只
11,它们的影子投射在沙滩上。,none,none
15,他们似乎正在向图像的左侧移动。,relation,左侧
15,这个人穿着白色衬衫和蓝色短裤，戴着一顶黑色帽子。,none,none
20,有三个人正在海滩上行走。,count,三个
20,他们穿着传统服装，包括头巾和长袍。,none,none
26,她穿着一件红色的连衣裙，手里拿着一根胡萝卜。,entity,胡萝卜
26,在她的身后，有一只鹿站在草地上。,none,none
28,一个人正在一条乡村道路上滑板。,entity,滑板
28,道路两旁是草地和树木，天空中有云彩。,none,none
31,在他身后，有一只海鸥站在海滩上。,relation,身后
31,有一个小男孩正在沙滩上奔跑。他穿着蓝色和白色的泳裤。,none,none
34,背景是一片草地，有一些树和灌木丛。,entity,树
34,有一个小男孩正在草地上踢足球。,none,none
43,在他们身后，有一只羊在田野里吃草。,relation,身后
43,有两个人沿着一条乡村小路行走。,none,none
44,他的右手拿着一个白色的塑料袋。,entity,塑料袋
44,背景是一片草地，远处可以看到树木。,none,none
48,她正在向图像的左侧跑去。,relation,左侧
48,她穿着白色的运动衫和黑色的短裤，脚上穿着白色的鞋子。,none,none
60,一只狗正在空中跳跃，试图抓住一个黄色的飞盘。,entity,飞盘
60,天空是清澈的蓝色，没有云彩。,none,none
64,左边的狗是浅棕色的，戴着蓝色的项圈，正在向右跑。,relation,向右
64,右边的狗是深棕色的，正在向左跑。,none,none
66,有两只金毛寻回犬正在一片草地上玩耍。,count,两只
66,背景是一片郁郁葱葱的树木和草地。,none,none
67,一个男人坐在长椅上，他的姿势放松而随意。,entity,长椅
67,他穿着一件蓝色的夹克和灰色的裤子。,none,none
70,她穿着一件红色的连衣裙和一顶棕色的帽子。,entity,帽子
70,自行车是黄色的，有黑色的轮子。,none,none
75,一只狗是白色的，另一只狗是棕色和白色的。,state,白色
75,有两只狗站在人行道上，它们的脖子上都系着绿色的项圈。,none,none
82,他的左手举过头顶，右手握着冲浪板的把手。,action,举过、握着
82,他穿着一件黄色的衬衫和蓝色短裤。,none,none
85,他的手举在镜头前，似乎在向观众展示他的手指。,entity,手、手指
85,一个男人正在浴缸里泡澡。他看起来很开心。,none,none
87,这个人穿着黑色的衣服和一顶红色的帽子。,state,红色
87,一个人正在骑着一匹棕色的马在海滩上奔跑。,none,none
